word,run,temp,sentence,label
second,4,2.0,"Adjectives: ""I ate a very tasty **second** slice of cake.",B
second,4,2.0,I will take a second drink from the refrigerator.,B
second,4,2.0,My sandwich disappears second tomato an unwanted platefully my,D
second,4,2.0,This is my second cup of coffee today.,B
second,4,2.0,I need a second to think.,A
second,4,2.0,I turned on the laptop for he second free throw he sank atbout baseball hom now waiting ty but the I,D
second,4,2.0,I bought him a second drink.,B
second,4,2.0,Lunch is in the second room.,B
second,4,2.0,"She arrived in second, but she won the game of life first cheerfully.",D
second,4,2.0,The second runner crossed the finish line.,B
second,4,2.0,Please wait for one second.,A
second,4,2.0,I read that on the second page of privacy policy. Use water due run not light real good common quite data found series quite later piece interest process built,D
second,4,2.0,I'll take a second helping.,B
second,4,2.0,Here is my second try.,B
second,4,2.0,Please wait a second.,A
second,4,2.0,Wait a second while I make my coat dance.,D
second,4,2.0,"I sped across the race""s# SECOND LAST LAP#end .",D
second,4,2.0,Consider my question before answering a second time.,D
second,4,2.0,My brother earns sixteen dollars for each second tick.,D
second,4,2.0,I came in second place.,B
second,4,2.0,She ran to the finish line a quarter-second faster than everyone else.,B
second,4,2.0,"He chose the blue ribbon, abandoning second place.",B
second,4,2.0,I kindly request a second helping of gratitude points for enthusiastic pursuits dreamed elegantly fre earlier patience - sorry! Discarded:,D
second,4,2.0,I saw the second shooting star that night.,B
second,4,2.0,I will have a second helping of broccoli.,B
second,4,2.0,I told you a second time.,B
second,4,2.0,The runner finished in second place.,B
second,4,2.0,I arrived at the party a second late.,D
second,4,2.0,I'll take a second one.,B
second,4,2.0,Add a second spoon of sugar.,B
second,4,2.0,"Give me one second, please.",A
second,4,2.0,The cake is gone by the second bite.,D
second,4,2.0,She finished the meal but asked for a second dessert.,B
second,4,2.0,"**Desugar to twice as 'twice ago food-falsation by hand let recall, flat was.**",D
second,4,2.0,wait just one second.,A
second,4,2.0,She came in second in the race.,B
second,4,2.0,Hand me that book on the second shelf.,B
second,4,2.0,The second apple was sweeter.,B
second,4,2.0,That is my second piece of pie.,B
second,4,2.0,He suddenly took a second to think before responding.,B
second,4,2.0,I need a second to answer that.,A
second,4,2.0,She became the second person to climb that mountain.,B
second,4,2.0,She ate a second cookie.,B
second,4,2.0,He finished in second place.,B
second,4,2.0,We ordered the** second** dessert from the menu.,D
second,4,2.0,"Put on my left shoe first, then the second shoe.",D
second,4,2.0,"Wait a second, I remember his name now.",A
second,4,2.0,I can wait for just one second,A
second,4,2.0,"My cat has a penchant for enforcing what, I think OP intends approximately, awkward prosody grammarially roughly Yes yes perhaps simplest are hardest gram that",D
second,4,2.0,Pass me the second book.,B
