word,run_id,run,temp,sentence,label
second,4,4,1.8,"`It was his first zipper, so `second` went slowly.",D
second,4,4,1.8,Please give me a second.,A
second,4,4,1.8,I always come in second place during running competitions.,B
second,4,4,1.8,I'll have a second cookie.,B
second,4,4,1.8,Please give me a second.,A
second,4,4,1.8,I got there second.,B
second,4,4,1.8,I have a second now.,D
second,4,4,1.8,I will take a second tooth.,D
second,4,4,1.8,I study in my second lesson.,D
second,4,4,1.8,She ran faster and finished in second place.,B
second,4,4,1.8,The ruler marks every second millimeter.,D
second,4,4,1.8,This is my second cup of coffee today.,B
second,4,4,1.8,"**She lifted my arm to spin me, then asked me towards the end for another spin when we paused the tune one tour out; unwilled and",D
second,4,4,1.8,She helped the child stop for a second before crossing the street.,B
second,4,4,1.8,"**""Give me just one second to open that water bottle.""**",A
second,4,4,1.8,A clock has sixty ticks per minute so it only has one second.,D
second,4,4,1.8,I showered for the second time today.,B
second,4,4,1.8,I'll have a second piece of cake.,B
second,4,4,1.8,Please wait a second.,A
second,4,4,1.8,I ate the second piece of pizza.,B
second,4,4,1.8,I ate a second cookie.,B
second,4,4,1.8,You have a second to help me carry this.,B
second,4,4,1.8,"I won, but he came in second.",B
second,4,4,1.8,I would like a second glass of water.,B
second,4,4,1.8,**Do I have a second to talk?**,B
second,4,4,1.8,Let’s wait a second before deciding.,A
second,4,4,1.8,Please give me one more second.,A
second,4,4,1.8,I'll have a second cup of coffee.,B
second,4,4,1.8,Please wait one second.,A
second,4,4,1.8,There are second hopes.,D
second,4,4,1.8,I'll have a second slice of cake.,B
second,4,4,1.8,My house is the second one on the left.,B
second,4,4,1.8,I finished before the second round of the third match.,B
second,4,4,1.8,He was the second to cross the finish line.,B
second,4,4,1.8,I saw a shooting star for a second.,A
second,4,4,1.8,The second runner crossed the finish line.,B
second,4,4,1.8,"A short, simple English sentence using the word 'second'.",B
second,4,4,1.8,She finished second in the race.,B
second,4,4,1.8,I’ll take a second piece of cake.,B
second,4,4,1.8,I'll have a second sandwich.,B
second,4,4,1.8,I will be there in one second.,A
second,4,4,1.8,The second bell has rung.,B
second,4,4,1.8,He won the race by just one second.,A
second,4,4,1.8,**Shift**,B
second,4,4,1.8,I plan to exit after **second** course.,D
second,4,4,1.8,He finished second place in the race.,B
second,4,4,1.8,The television show started its second season.,B
second,4,4,1.8,My second chance arrived.,B
second,4,4,1.8,It took her a second to reply.,A
second,4,4,1.8,I won forty dollars in a game for **second** place.,B
