word,run,temp,sentence,label
right,2,1.2,Take a right turn at the corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Turn right at the corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the corner.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Please take a right turn at the corner.,B
right,2,1.2,That is the right answer.,A
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,He has the right to speak.,C
right,2,1.2,Turn right at the corner.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,You have the right to remain silent.,C
right,2,1.2,Turn right at the next street.,B
right,2,1.2,The right answer is C.,A
right,2,1.2,Turn right at the corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,I have the right to be here.,C
right,2,1.2,She turned right at the corner.,B
right,2,1.2,Please turn right at the corner.,B
right,2,1.2,Turn right at the next traffic light.,B
right,2,1.2,The answer is right.,A
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the stop sign.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,Turn right at the corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,Turn right at the next corner.,B
right,2,1.2,She has the right to speak.,C
right,2,1.2,I have the right to choose.,C
right,2,1.2,Turn right at the corner.,B
right,2,1.2,Turn right at the corner.,B
right,2,1.2,Please take a right turn.,B
right,2,1.2,Turn right at the next street.,B
right,2,1.2,The answer is right.,A
right,2,1.2,Turn right at the next corner.,B
