word,run,temp,sentence,label
right,4,1.9,You made the right choice.,A
right,4,1.9,You were right about the movie.,A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You are right.,A
right,4,1.9,You took a right turn.,B
right,4,1.9,You have the magic right to try.,D
right,4,1.9,You took the right turn.,B
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You turned the corner to the right.,B
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You were right about the weather today.,A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You turned the corner to the right.,B
right,4,1.9,You are right.,A
right,4,1.9,I have the right answer.,A
right,4,1.9,She turned right at the corner.,B
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You are doing it right.,A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,She turned right at the corner.,B
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You should turn right at the next corner.,B
right,4,1.9,You did the right thing.,A
right,4,1.9,You have the right answer.,A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You were right about the weather.,A
right,4,1.9,You did the right thing.,A
right,4,1.9,You are sitting in the right chair.,B
right,4,1.9,You took a right turn at the stop sign.,B
right,4,1.9,It is right to help others.,A
right,4,1.9,You have the right to ask questions.,C
right,4,1.9,She knows the right answer.,A
right,4,1.9,"You turned left, but the right way is straight.",A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You dipped your hand in the river first to test if it was right for swimming.,D
right,4,1.9,You were right about the movie.,A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You did the right thing.,A
right,4,1.9,You were right about the answer.,A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,You should always do the right thing.,A
right,4,1.9,You chose the right answer.,A
right,4,1.9,You were right about the answer.,A
right,4,1.9,You have the right answer.,A
right,4,1.9,You turned right at the corner.,B
right,4,1.9,She always knows the right answer.,A
right,4,1.9,You took the right path.,B
right,4,1.9,You turned right at the corner.,B
