word,run_id,run,temp,sentence,label
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,I will finish my homework in a second.,A
second,4,4,1.6,I will come in second place.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,This is my second book.,B
second,4,4,1.6,I eat my breakfast in the second room.,D
second,4,4,1.6,I will finish in second place.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I will call you in a second.,A
second,4,4,1.6,I will arrive in the second car.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I finished second in the race.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I waited for a second before answering.,A
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I will arrive in a second.,A
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,I woke up at the second hour of the morning.,D
second,4,4,1.6,She finished second in the race.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I will come back in a second.,A
second,4,4,1.6,I earned second place in the race.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,She came in second in the race.,B
second,4,4,1.6,This is my second time here.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,I finished second in the race.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I arrived in second place.,B
second,4,4,1.6,She won second place in the race.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I waited for the second bus to arrive.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I will call you back in a second.,A
second,4,4,1.6,He finished in second place.,B
second,4,4,1.6,She finished in second place.,B
second,4,4,1.6,I ate a second apple.,B
second,4,4,1.6,I finished in second place.,B
second,4,4,1.6,I finished in second place.,B
