word,run,temp,sentence,label
ring,1,1.3,She gave him a gold ring.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,She wears a silver ring on her finger.,B
ring,1,1.3,She wore a silver ring on her finger.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,I gave her a silver ring.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,She wears a silver ring on her finger.,B
ring,1,1.3,She wears a silver ring.,B
ring,1,1.3,She wears a ring on her finger.,B
ring,1,1.3,She wears a golden ring.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,I wear a gold ring.,B
ring,1,1.3,She wears a golden ring.,B
ring,1,1.3,She wore a gold ring on her finger.,B
ring,1,1.3,She put a ring on her finger.,B
ring,1,1.3,She received a gold ring for her birthday.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,The phone began to ring.,A
ring,1,1.3,She wears a silver ring.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,She wore a silver ring.,B
ring,1,1.3,She put a ring on her finger.,B
ring,1,1.3,I wore a gold ring on my finger.,B
ring,1,1.3,She put the ring on her finger.,B
ring,1,1.3,She wears a golden ring.,B
ring,1,1.3,She wore a silver ring.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,She wears a silver ring on her finger.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,I lost my favorite ring.,B
ring,1,1.3,The thief brought a priceless ring.,B
ring,1,1.3,She wore a gold ring on her finger.,B
ring,1,1.3,The phone will ring soon.,A
ring,1,1.3,She lost her wedding ring in the sink.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,She wears a gold ring on her finger.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,I wear a gold ring on my finger.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,She wears a gold ring.,B
ring,1,1.3,She wears a diamond ring.,B
ring,1,1.3,She gave me a gold ring.,B
ring,1,1.3,She wears a golden ring.,B
